2022-9-30 11:05:00,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,0.54%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,192
2022-09-30 11:05:01,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,0.47%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,192
2022-09-30 11:05:02,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,0.47%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,192
2022-9-30 11:05:03,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,0.41%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,192
2022-09-30 11:05:04,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,17.08%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,192
2022-9-30 11:05:05,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,33.75%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,200
2022-09-30 11:05:06,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,34.36%,10.01,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,200
2022-9-30 11:05:07,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,34.97%,10.02,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,200
2022-09-30 11:05:08,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,34.05%,10.02,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,200
2022-9-30 11:05:09,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,33.13%,10.02,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,206
2022-09-30 11:05:10,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,27.97%,10.02,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,206
2022-9-30 11:05:11,249914e78616,hadoop-slave11.1.c5xdurgdndrsr8erese6644d4,22.80%,10.02,/,125.5GiB,7.98%,239GB,/,200GB,57.1GB,/,728MB,210
